iter	Passed	Remaining
0	64	32138
1	69	17225
2	73	12234
3	78	9759
4	83	8275
5	88	7260
6	92	6496
7	96	5926
8	100	5470
9	104	5128
10	108	4835
11	112	4584
12	117	4384
13	121	4205
14	126	4098
15	130	3954
16	135	3838
17	139	3735
18	144	3660
19	148	3560
20	152	3481
21	156	3408
22	161	3347
23	166	3295
24	170	3236
25	176	3218
26	180	3163
27	184	3112
28	188	3062
29	193	3031
30	197	2992
31	201	2946
32	205	2914
33	210	2887
34	215	2865
35	219	2835
36	224	2809
37	229	2792
38	233	2760
39	239	2751
40	243	2726
41	247	2698
42	251	2677
43	256	2660
44	261	2645
45	265	2619
46	270	2605
47	275	2598
48	280	2577
49	284	2558
50	289	2551
51	294	2535
52	298	2515
53	303	2508
54	308	2496
55	312	2477
56	317	2465
57	321	2453
58	326	2439
59	330	2423
60	335	2411
61	339	2400
62	343	2384
63	347	2367
64	351	2351
65	355	2340
66	360	2327
67	364	2317
68	369	2305
69	373	2295
70	377	2281
71	381	2268
72	386	2259
73	390	2248
74	394	2236
75	399	2227
76	404	2220
77	408	2209
78	412	2197
79	417	2190
80	421	2182
81	426	2175
82	431	2167
83	436	2161
84	440	2148
85	444	2139
86	449	2132
87	453	2123
88	458	2116
89	462	2105
90	466	2098
91	471	2091
92	475	2082
93	480	2073
94	485	2068
95	489	2061
96	493	2050
97	499	2047
98	504	2042
99	508	2033
100	512	2024
101	518	2021
102	522	2015
103	527	2007
104	532	2001
105	536	1994
106	540	1985
107	545	1979
108	550	1974
109	554	1967
