Timestamp,RPM,Load,TempSensor,ThrottlePosition,IgnitionTiming,CylinderPressure,BurnRate,Vibration,EGOVoltage
2025-01-08 00:00:00,5364.7,45.6,102.2,46.9,21.34,34.96,0.9144,-0.1229,0.44
2025-01-08 00:01:00,4968.3,31.2,99.9,33.5,21.79,29.59,0.0002,-0.0003,0.484
2025-01-08 00:02:00,5156.3,49.7,103.8,50.1,21.19,37.08,0.9891,-0.1049,0.476
2025-01-08 00:03:00,5641.1,62.5,103.2,59.9,21.72,39.76,0.5182,-0.0399,0.482
2025-01-08 00:04:00,4806.0,26.8,98.1,27.6,21.48,27.25,0.1302,-0.1116,0.495
2025-01-08 00:05:00,4680.9,29.2,99.6,27.9,22.04,29.56,0.2121,-0.1247,0.472
2025-01-08 00:06:00,5528.4,61.4,102.4,60.3,21.04,39.65,0.0015,0.0035,0.429
2025-01-08 00:07:00,5274.6,44.3,100.1,45.5,23.04,35.35,0.9921,-0.15,0.431
2025-01-08 00:08:00,4658.5,20.6,96.5,23.0,22.91,27.46,0.0003,0.0584,0.446
2025-01-08 00:09:00,5042.0,39.8,98.7,39.9,22.37,32.17,0.7545,0.0634,0.453
2025-01-08 00:10:00,4453.3,19.8,95.8,20.4,22.71,25.79,0.352,0.0206,0.469
2025-01-08 00:11:00,4337.5,19.0,94.0,22.4,21.35,23.46,0.986,-0.0604,0.502
2025-01-08 00:12:00,4609.5,32.6,96.3,33.1,22.15,30.19,0.0717,-0.1013,0.48
2025-01-08 00:13:00,3423.1,0.0,91.0,5.2,22.01,17.05,0.5291,-0.0105,0.531
2025-01-08 00:14:00,2780.8,0.0,91.0,1.1,20.47,16.03,0.4294,-0.1364,0.52
2025-01-08 00:15:00,2685.9,17.4,93.2,13.9,20.19,20.16,0.8238,-0.019,0.499
2025-01-08 00:16:00,2304.8,8.8,91.6,10.4,17.03,15.7,0.0016,-0.0793,0.458
2025-01-08 00:17:00,2835.7,33.9,95.1,34.6,17.83,26.72,0.0357,-0.1329,0.432
2025-01-08 00:18:00,2005.4,11.1,92.7,13.7,16.92,15.39,0.0482,-0.1969,0.469
2025-01-08 00:19:00,1605.0,1.4,90.9,2.8,17.12,13.34,0.8661,0.0971,0.484
2025-01-08 00:20:00,4457.4,55.7,95.5,55.5,19.03,37.23,0.0333,-0.0662,0.446
2025-01-08 00:21:00,1624.6,24.1,92.7,21.6,14.55,20.89,0.6106,0.0987,0.484
2025-01-08 00:22:00,1918.7,29.5,93.4,29.1,14.71,24.92,0.0486,0.1324,0.493
2025-01-08 00:23:00,3097.4,1.2,90.6,0.0,21.09,17.6,0.9592,-0.1259,0.54
2025-01-08 00:24:00,1683.0,18.2,93.7,17.0,14.75,18.33,0.9847,-0.1047,0.499
2025-01-08 00:25:00,2056.5,30.4,94.9,31.5,15.65,23.55,0.5019,0.2422,0.473
2025-01-08 00:26:00,1854.4,6.4,91.7,9.8,16.92,15.66,0.1964,0.1119,0.475
2025-01-08 00:27:00,2816.0,35.8,95.6,36.6,16.16,25.15,0.0621,0.0433,0.424
2025-01-08 00:28:00,1499.8,16.9,93.5,14.5,14.92,17.3,0.0006,0.0591,0.464
2025-01-08 00:29:00,1901.0,22.7,93.1,23.6,16.26,20.28,0.0922,-0.0764,0.465
2025-01-08 00:30:00,2702.9,17.3,95.0,19.7,18.01,18.75,0.7534,0.0563,0.506
2025-01-08 00:31:00,2910.9,63.8,100.2,62.6,14.35,35.61,0.5322,-0.0192,0.444
2025-01-08 00:32:00,1803.4,29.0,97.6,28.7,14.37,22.34,0.9851,-0.1617,0.508
2025-01-08 00:33:00,1425.8,9.2,96.4,9.3,16.1,14.05,0.2674,-0.0704,0.506
2025-01-08 00:34:00,4103.6,44.5,98.9,42.9,19.59,32.48,0.8118,0.007,0.475
2025-01-08 00:35:00,1008.9,5.9,95.2,7.2,15.89,14.56,0.4433,-0.1232,0.504
2025-01-08 00:36:00,2140.1,32.6,97.6,32.3,15.18,24.6,0.49,-0.0499,0.429
2025-01-08 00:37:00,2378.0,0.0,92.4,0.8,19.49,14.43,0.0915,-0.1592,0.469
2025-01-08 00:38:00,1229.0,3.1,92.1,1.3,15.87,14.0,0.3755,-0.1118,0.463
2025-01-08 00:39:00,2788.9,31.8,94.6,31.0,17.7,26.16,0.4065,0.0826,0.444
2025-01-08 00:40:00,2352.4,42.1,95.9,43.6,14.51,28.05,0.8287,0.0703,0.462
2025-01-08 00:41:00,1992.4,31.4,94.7,30.7,15.37,22.9,0.9844,-0.0117,0.497
2025-01-08 00:42:00,1971.5,26.0,93.8,29.5,15.38,22.29,0.1635,0.0875,0.501
2025-01-08 00:43:00,2248.0,22.6,93.4,21.8,16.52,22.7,0.0004,0.0094,0.508
2025-01-08 00:44:00,1176.2,0.3,91.1,0.8,16.0,11.85,0.4573,0.0805,0.518
2025-01-08 00:45:00,2747.5,15.3,94.1,17.2,18.72,22.36,0.5538,-0.087,0.485
2025-01-08 00:46:00,1713.1,20.8,95.0,18.0,15.26,19.35,0.0236,-0.0913,0.451
2025-01-08 00:47:00,2627.6,50.9,97.9,47.4,14.83,31.05,0.8891,-0.1399,0.432
2025-01-08 00:48:00,2109.8,38.8,96.4,35.7,15.36,25.57,0.9916,0.0049,0.436
2025-01-08 00:49:00,940.3,0.0,93.1,2.5,15.86,12.1,0.9854,0.0895,0.486
2025-01-08 00:50:00,3798.0,39.4,97.1,38.3,19.38,28.15,0.0376,0.131,0.453
2025-01-08 00:51:00,1549.6,26.9,96.3,32.1,14.05,20.88,0.965,0.0619,0.486
2025-01-08 00:52:00,1561.5,22.0,97.4,20.8,14.36,18.83,0.8259,-0.1266,0.505
2025-01-08 00:53:00,3855.5,46.8,100.6,47.2,18.84,32.43,0.3734,0.0922,0.466
2025-01-08 00:54:00,2329.7,55.2,100.8,58.3,13.94,32.74,0.5462,-0.2189,0.446
2025-01-08 00:55:00,2353.4,54.1,101.7,58.1,14.42,32.09,0.9534,0.0488,0.44
2025-01-08 00:56:00,1692.6,20.5,97.8,24.6,15.0,17.36,0.425,-0.0666,0.467
2025-01-08 00:57:00,2586.9,30.5,99.9,32.9,16.54,26.67,0.2289,0.0165,0.434
2025-01-08 00:58:00,2183.1,42.2,101.1,44.3,13.6,27.71,0.4512,-0.1061,0.419
2025-01-08 00:59:00,2466.4,54.0,102.6,55.2,13.79,30.86,0.6214,0.0559,0.42
2025-01-08 01:00:00,1741.8,27.0,100.4,28.5,15.28,22.0,0.0332,-0.0986,0.468
2025-01-08 01:01:00,2133.3,30.0,99.8,28.9,15.28,23.73,0.9742,-0.0335,0.484
2025-01-08 01:02:00,2169.1,16.0,100.6,14.4,17.32,18.66,0.7839,-0.148,0.534
2025-01-08 01:03:00,1313.1,10.4,98.2,10.4,15.22,16.04,0.7191,-0.1902,0.529
2025-01-08 01:04:00,3316.5,45.6,100.0,45.2,17.23,30.19,0.0049,-0.0226,0.482
2025-01-08 01:05:00,2571.6,58.6,102.4,57.7,13.22,32.85,0.668,0.1249,0.453
2025-01-08 01:06:00,1785.8,30.1,99.4,31.5,14.63,22.19,0.0088,0.2748,0.442
2025-01-08 01:07:00,2769.4,48.5,100.5,50.4,13.84,29.09,0.0024,0.0522,0.411
2025-01-08 01:08:00,2377.7,36.1,98.0,36.3,15.45,26.08,0.5196,0.0533,0.424
2025-01-08 01:09:00,1590.5,17.4,96.5,20.4,14.52,19.16,0.2787,0.0181,0.478
2025-01-08 01:10:00,2619.8,35.2,97.3,32.9,16.87,26.7,0.6397,0.0025,0.459
2025-01-08 01:11:00,2984.9,56.9,97.6,56.5,15.45,34.42,0.0035,-0.0827,0.448
2025-01-08 01:12:00,1792.9,27.7,95.8,26.3,15.07,22.5,0.3299,-0.0079,0.496
2025-01-08 01:13:00,2927.1,57.6,97.4,53.8,15.6,33.17,0.0263,-0.009,0.469
2025-01-08 01:14:00,736.3,0.0,89.3,0.0,14.36,12.31,0.9918,0.0073,0.52
2025-01-08 01:15:00,4110.6,43.7,95.8,43.5,20.21,30.52,0.5867,0.0187,0.459
2025-01-08 01:16:00,1777.3,29.8,93.7,32.8,15.06,21.88,0.803,0.0117,0.444
2025-01-08 01:17:00,1716.5,22.4,94.0,23.7,15.05,19.42,0.1583,0.0883,0.456
2025-01-08 01:18:00,3108.9,30.1,94.6,28.1,18.63,26.68,0.0042,-0.1489,0.435
2025-01-08 01:19:00,694.6,0.0,89.9,3.7,14.17,12.33,0.9904,0.006,0.481
2025-01-08 01:20:00,3014.3,23.9,92.4,26.4,18.02,23.97,0.1107,0.1643,0.483
2025-01-08 01:21:00,2209.1,35.1,93.8,36.2,14.9,26.35,0.3166,0.1276,0.476
2025-01-08 01:22:00,2712.9,56.2,96.0,55.7,14.15,31.92,0.7465,0.1206,0.467
2025-01-08 01:23:00,1604.7,18.4,92.2,16.5,14.75,19.26,0.0001,0.0018,0.516
2025-01-08 01:24:00,1925.8,13.5,93.3,12.8,17.22,17.93,0.93,-0.0249,0.496
2025-01-08 01:25:00,2822.2,18.9,93.8,21.0,18.31,22.36,0.5381,0.146,0.477
2025-01-08 01:26:00,2340.7,45.6,95.5,49.3,14.68,28.67,0.1021,0.0899,0.442
2025-01-08 01:27:00,2051.0,35.3,95.5,38.4,14.48,24.64,0.0012,-0.1439,0.457
2025-01-08 01:28:00,1932.2,18.6,93.6,17.6,15.21,20.17,0.0212,-0.126,0.459
2025-01-08 01:29:00,2867.2,38.0,94.6,35.7,16.78,28.41,0.9723,0.0865,0.449
2025-01-08 01:30:00,1894.0,30.8,96.3,31.1,13.84,22.66,0.801,-0.0689,0.474
2025-01-08 01:31:00,2553.3,47.5,98.6,44.0,14.83,29.75,0.0751,-0.0342,0.459
2025-01-08 01:32:00,1782.7,16.1,96.4,16.8,15.29,17.5,0.0014,-0.0658,0.514
2025-01-08 01:33:00,2157.3,23.0,97.7,22.7,17.27,18.95,0.8074,-0.0529,0.505
2025-01-08 01:34:00,2081.8,21.5,96.7,20.6,16.68,21.05,0.6085,-0.172,0.499
2025-01-08 01:35:00,1256.3,1.1,94.8,0.0,16.15,13.46,0.2818,0.234,0.5
2025-01-08 01:36:00,3539.1,34.0,97.8,35.0,19.44,27.94,0.2137,-0.07,0.452
2025-01-08 01:37:00,1906.5,33.4,96.5,32.3,14.15,22.18,0.0497,-0.0577,0.435
2025-01-08 01:38:00,1895.9,28.5,94.5,26.1,15.31,22.26,0.7771,0.107,0.444
2025-01-08 01:39:00,2451.2,23.9,93.8,18.1,17.06,20.1,0.9897,0.0349,0.446
2025-01-08 01:40:00,1339.7,1.5,92.0,1.5,16.4,14.52,0.0268,0.0946,0.495
2025-01-08 01:41:00,2612.0,20.2,93.7,23.8,18.38,20.44,0.6551,0.1095,0.511
2025-01-08 01:42:00,1742.3,21.7,93.5,25.0,15.68,21.46,0.3172,-0.1102,0.51
2025-01-08 01:43:00,1559.1,13.0,92.6,12.1,15.84,18.1,0.3596,0.029,0.515
2025-01-08 01:44:00,3197.8,25.2,93.5,24.0,17.97,23.33,0.0788,0.0255,0.511
2025-01-08 01:45:00,2022.6,36.6,96.1,37.5,14.08,24.22,0.9397,-0.0607,0.45
2025-01-08 01:46:00,2966.9,65.5,99.3,63.5,14.09,36.53,0.4352,-0.0409,0.406
2025-01-08 01:47:00,2189.6,35.0,96.3,35.6,15.2,24.39,0.5517,0.1053,0.454
2025-01-08 01:48:00,2317.0,37.6,96.3,39.2,14.66,26.39,0.132,0.0803,0.434
2025-01-08 01:49:00,2261.0,32.2,96.2,34.6,16.83,24.04,0.0296,-0.206,0.448
2025-01-08 01:50:00,1130.6,0.0,93.1,0.0,16.63,10.48,0.0032,0.114,0.488
2025-01-08 01:51:00,3457.3,33.6,96.9,33.2,18.93,25.16,0.8381,0.0229,0.488
2025-01-08 01:52:00,1817.2,35.8,98.7,34.1,14.13,24.95,0.0371,0.1095,0.498
2025-01-08 01:53:00,3313.0,81.8,104.0,80.2,13.32,41.34,0.8066,0.0595,0.436
2025-01-08 01:54:00,1952.2,32.6,98.6,32.2,14.29,23.45,0.2573,0.1489,0.484
2025-01-08 01:55:00,2289.3,42.2,100.6,43.0,14.73,28.35,0.3019,0.2053,0.454
2025-01-08 01:56:00,2421.9,35.4,99.2,37.3,15.85,27.01,0.4033,0.1662,0.449
2025-01-08 01:57:00,1477.6,14.1,98.4,12.5,14.75,17.06,0.2201,0.1728,0.446
