Timestamp,RPM,Load,TempSensor,ThrottlePosition,IgnitionTiming,CylinderPressure,BurnRate,Vibration,EGOVoltage
2025-01-08 00:00:00,3869.5,47.1,101.1,48.5,17.24,32.38,0.9144,-0.1229,0.439
2025-01-08 00:01:00,3799.6,30.0,99.8,32.4,18.83,26.84,0.0002,0.1039,0.486
2025-01-08 00:02:00,3821.2,51.5,103.4,51.9,17.5,34.88,0.9891,-0.0094,0.474
2025-01-08 00:03:00,4275.6,61.4,102.6,58.8,18.23,36.6,0.5182,0.0056,0.483
2025-01-08 00:04:00,3461.8,26.0,97.3,26.8,18.03,24.25,0.1302,-0.1154,0.496
2025-01-08 00:05:00,3384.4,28.8,99.0,27.5,18.67,26.78,0.2121,-0.1159,0.473
2025-01-08 00:06:00,4253.9,59.9,101.8,58.8,17.84,36.54,0.0015,0.058,0.431
2025-01-08 00:07:00,3935.9,43.5,99.7,44.7,19.59,32.36,0.9921,-0.1152,0.432
2025-01-08 00:08:00,3308.1,19.9,96.0,22.4,19.42,24.53,0.0003,0.059,0.447
2025-01-08 00:09:00,3751.1,38.8,98.6,38.9,19.07,29.21,0.7545,-0.046,0.454
2025-01-08 00:10:00,3305.3,19.8,95.5,20.4,19.68,23.48,0.352,0.0862,0.469
2025-01-08 00:11:00,3251.6,19.5,94.1,22.9,18.44,21.42,0.986,-0.1162,0.501
2025-01-08 00:12:00,3585.1,32.7,96.5,33.2,19.44,28.14,0.0717,-0.1048,0.48
2025-01-08 00:13:00,2578.1,0.0,90.7,5.2,19.79,15.36,0.5291,0.0179,0.531
2025-01-08 00:14:00,1726.9,0.0,90.7,1.1,17.69,13.93,0.4294,-0.1145,0.52
2025-01-08 00:15:00,1560.1,17.3,93.1,13.8,17.23,17.86,0.8238,-0.032,0.499
2025-01-08 00:16:00,1347.4,8.9,91.3,10.4,14.51,13.8,0.0016,-0.0929,0.458
2025-01-08 00:17:00,1822.1,33.7,95.2,34.4,15.18,24.58,0.0357,-0.0179,0.432
2025-01-08 00:18:00,1234.7,11.0,92.4,13.6,14.9,13.82,0.0482,-0.2039,0.469
2025-01-08 00:19:00,894.3,1.5,90.5,2.9,15.24,11.95,0.8661,0.133,0.484
2025-01-08 00:20:00,2550.2,55.3,95.9,55.0,14.06,33.13,0.0333,-0.0389,0.447
2025-01-08 00:21:00,1304.1,23.9,92.7,21.4,13.73,20.19,0.6106,0.1813,0.484
2025-01-08 00:22:00,1599.8,29.3,93.4,28.9,13.88,24.22,0.0486,0.1248,0.493
2025-01-08 00:23:00,1035.1,1.3,90.1,0.0,15.65,13.51,0.9592,-0.0637,0.54
2025-01-08 00:24:00,1414.8,17.9,93.4,16.7,14.07,17.71,0.9847,-0.1669,0.499
2025-01-08 00:25:00,1664.3,30.2,94.8,31.3,14.63,22.69,0.5019,0.3,0.474
2025-01-08 00:26:00,962.1,6.5,91.4,9.8,14.57,13.89,0.1964,0.1201,0.475
2025-01-08 00:27:00,1678.2,35.2,95.8,36.0,13.23,22.64,0.0621,0.0517,0.424
2025-01-08 00:28:00,1343.9,16.9,93.5,14.5,14.51,16.99,0.0006,-0.0145,0.464
2025-01-08 00:29:00,1350.7,22.6,93.3,23.5,14.82,19.13,0.0922,-0.1133,0.465
2025-01-08 00:30:00,1289.9,16.9,94.9,19.3,14.33,15.78,0.7534,0.0301,0.506
2025-01-08 00:31:00,2449.0,62.9,100.7,61.7,13.23,34.38,0.5322,-0.0154,0.445
2025-01-08 00:32:00,1716.2,28.2,97.8,27.9,14.22,21.91,0.9851,-0.1951,0.509
2025-01-08 00:33:00,1348.5,8.6,96.5,8.7,15.96,13.71,0.2674,-0.1714,0.507
2025-01-08 00:34:00,1997.8,43.7,99.4,42.2,14.12,27.93,0.8118,-0.0388,0.475
2025-01-08 00:35:00,1135.9,5.5,95.2,6.8,16.25,14.71,0.4433,-0.0658,0.504
2025-01-08 00:36:00,1587.7,32.2,98.0,31.9,13.77,23.35,0.49,-0.0415,0.429
2025-01-08 00:37:00,700.8,0.0,92.4,0.8,15.07,11.08,0.0915,-0.0956,0.469
2025-01-08 00:38:00,890.1,3.2,92.4,1.4,14.97,13.36,0.3755,-0.1403,0.463
